,id_mission,id_report,id_labdoc,id_trace,n_users,n_mots,indice_collab,indice_contrib
71759,1703,47780,470618,8205448,1,107,0.0,0.0
71763,1703,47780,470614,8209243,1,320,0.0,0.0
71766,1703,47780,470620,8233511,1,256,0.0,0.0
71771,1703,47780,470616,8183031,1,150,0.0,0.0
71773,1703,47780,470621,8209339,2,73,0.0,0.0
71775,1703,47779,470602,8178396,1,278,0.0,0.0
71777,1703,47779,470611,8183291,1,77,0.0,0.0
71783,1703,47779,470608,8227165,2,79,0.2263929269328551,0.362424138441173
71791,1703,47779,470610,8227290,2,257,0.0076052352316943,0.4982967191024845
71793,1703,47779,470765,8182784,1,128,0.0,0.0
71798,1703,47779,470604,8227265,2,243,0.0930150922859975,0.2075141667021355
71800,1703,47779,470606,8180800,1,132,0.0,0.0
71811,1703,47754,470590,8207954,2,222,0.239089765564435,0.6777630093706111
71814,1703,47754,470591,8207083,2,71,0.3147717476090207,0.328459092373971
71816,1703,47754,470588,8206915,1,113,0.0,0.0
71825,1703,47754,470582,8206208,2,200,0.1674054054054053,0.56835
71835,1703,47754,470586,8207098,2,205,0.4304110899246057,0.7301286051840308
71845,1703,47754,470584,8206410,2,259,0.0964408275014335,0.3044018741778189
71849,1703,47670,467664,8204275,2,167,0.1695493745002383,0.7539522824988909
71860,1703,47670,467658,8201278,2,331,0.1482921485764403,0.6757038672686715
71870,1703,47670,467667,8239296,2,694,0.2828296815791876,0.5449306153967618
71886,1703,47670,467666,8237636,2,639,0.2734427657432103,0.7281810374727288
71894,1703,47670,467662,8206027,2,210,0.0020928865373309,0.4920713305898491
71904,1703,47670,467660,8207103,2,535,0.0001774500038852,0.4807057226477512
71911,1703,47968,474536,8341704,2,192,0.2243046119994153,0.6471928870294008
71929,1703,47968,474534,8346853,2,381,0.0215291900247689,0.491947630405717
71939,1703,47968,474868,8344965,2,94,0.0756501182033097,0.564961521050249
71942,1703,47968,474538,8310584,2,111,0.0,0.5184644103563023
71945,1703,47968,474541,8344942,1,57,0.0,0.0
71950,1703,47968,474532,8287745,2,137,0.053784095274683,0.65704086525654
71964,1703,47968,474540,8347339,2,264,0.1555526550782251,0.7380978293351108
71968,1703,47969,474544,8288586,1,97,0.0,0.0
71970,1703,47969,474546,8288976,1,89,0.0,0.0
71971,1703,47969,474542,8287752,1,46,0.0,0.0
71972,1703,47969,474548,8289399,1,57,0.0,0.0
71973,1703,47892,472672,8287416,1,79,0.0,0.0
71985,1703,47892,474585,8343234,2,355,0.1941466799793228,0.2275818290021822
71989,1703,47892,474590,8343282,2,87,0.0076073074573823,0.0076481554880287
71994,1703,47892,474520,8336513,1,161,0.0,0.0
72000,1703,47892,472681,8343334,2,184,0.0030878438331854,0.0031031788897032
72008,1703,47892,474588,8343247,2,143,0.0,0.0
72009,1703,47892,474521,8288974,1,58,0.0,0.0
72012,1703,47892,474591,8336894,1,138,0.0,0.0
72016,1713,47926,477761,8434699,1,9,0.0,0.0
72032,1713,47926,473944,8414471,4,1399,0.7097874029935909,0.7567612294377254
72033,1713,47926,473937,8441115,1,1404,0.0,0.0
72034,1713,47926,477805,8420306,1,5,0.0,0.0
72037,1713,47926,477618,8437945,2,8,0.9012244897959184,0.9012244897959184
72043,1713,47926,473935,8419831,1,1505,0.0,0.0
72051,1713,47926,473943,8449400,3,936,0.1438644045572618,0.8518008333051712
72052,1713,47926,473939,8441390,1,1516,0.0,0.0
72053,1713,47926,478683,8441287,1,228,0.0,0.0
72056,1713,47926,473930,8414696,1,115,0.0,0.0
72064,1713,47926,473932,8417771,2,1303,0.1511511279563695,0.1756522439796681
72065,1713,47926,473940,8441187,1,14,0.0,0.0
72072,1713,47926,477623,8419051,2,245,0.0,0.0
72073,1713,47929,477626,8417947,1,5,0.0,0.0
72075,1713,47929,473971,8417377,1,1277,0.0,0.0
